epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,122.529,1.28713,0.61549,1,1.36487,0.000236413,0.000236413,0.000236413
2,244.379,0.67517,0.6858,1,1.27638,0.000458758,0.000458758,0.000458758
3,364.588,0.49209,0.58967,1,1.3012,0.000665394,0.000665394,0.000665394
4,483.064,0.41468,0.63128,1,1.27056,0.000643314,0.000643314,0.000643314
5,595.107,0.35879,0.68293,1,1.23105,0.000619752,0.000619752,0.000619752
6,739.09,0.29268,0.66571,1,1.23908,0.00059619,0.00059619,0.00059619
7,872.895,0.2733,0.72597,1,1.18573,0.000572628,0.000572628,0.000572628
8,1007.25,0.254,0.70588,1,1.2076,0.000549066,0.000549066,0.000549066
9,1128.01,0.20454,0.7274,1,1.18306,0.000525504,0.000525504,0.000525504
10,1240.05,0.18197,0.73027,1,1.18112,0.000501942,0.000501942,0.000501942
11,1352.53,0.16801,0.69727,1,1.20154,0.00047838,0.00047838,0.00047838
12,1462.04,0.1616,0.70445,1,1.19728,0.000454818,0.000454818,0.000454818
13,1571.79,0.14843,0.71306,1,1.19414,0.000431256,0.000431256,0.000431256
14,1680.89,0.12831,0.74462,1,1.17973,0.000407694,0.000407694,0.000407694
15,1798.2,0.13401,0.69297,1,1.20935,0.000384132,0.000384132,0.000384132
16,1912.24,0.1272,0.7231,1,1.18163,0.00036057,0.00036057,0.00036057
17,2025.79,0.11592,0.7274,1,1.17556,0.000337008,0.000337008,0.000337008
18,2139.97,0.10009,0.70445,1,1.19278,0.000313446,0.000313446,0.000313446
19,2253.02,0.09086,0.71736,1,1.17898,0.000289884,0.000289884,0.000289884
20,2366.07,0.08976,0.73601,1,1.17318,0.000266322,0.000266322,0.000266322
21,2480.07,0.11031,0.70732,1,1.20106,0.00024276,0.00024276,0.00024276
22,2593.32,0.0947,0.6901,1,1.22252,0.000219198,0.000219198,0.000219198
23,2705.75,0.07791,0.70732,1,1.20354,0.000195636,0.000195636,0.000195636
24,2815.34,0.07646,0.69154,1,1.20872,0.000172074,0.000172074,0.000172074
25,2924.94,0.07931,0.71162,1,1.19218,0.000148512,0.000148512,0.000148512
26,3034.59,0.07624,0.70445,1,1.20278,0.00012495,0.00012495,0.00012495
27,3144.54,0.08491,0.71019,1,1.18289,0.000101388,0.000101388,0.000101388
28,3253.67,0.06974,0.7231,1,1.17805,7.7826e-05,7.7826e-05,7.7826e-05
29,3363.36,0.08083,0.71019,1,1.18551,5.4264e-05,5.4264e-05,5.4264e-05
30,3473.32,0.07093,0.71019,1,1.19051,3.0702e-05,3.0702e-05,3.0702e-05
